3 Idiots,1187043,2009,Comedy,Drama,NA,Hindi,Aamir Khan,Madhavan,Sharman Joshi,Saikat Bose,Ajay Chodanker,Jini Dhamande,"Farhan Qureshi and Raju Rastogi want to re-unite with their fellow collegian, Rancho, after faking a stroke aboard an Air India plane, and excusing himself from his wife - trouser less - respectively. Enroute, they encounter another student, Chatur Ramalingam, now a successful businessman, who reminds them of a bet they had undertaken 10 years ago. The trio, while recollecting hilarious antics, including their run-ins with the Dean of Delhi's Imperial College of Engineering, Viru Sahastrabudhe, race to locate Rancho, at his last known address - little knowing the secret that was kept from them all this time.",8.4,365114,https://www.imdb.com/title/tt1187043/
Don 2,1285241,2011,Action,Crime,Thriller,Hindi,Shah Rukh Khan,Priyanka Chopra Jonas,Boman Irani,Abdul Quadir Amin,Zainab Badani,Markus Bendler,"Having conquered the Asian underworld, Don (Shah Rukh Khan) now has his sights set on European domination. In his way are the bosses of the existing European underworld and all law enforcement agencies. The action shifts from Kuala Lumpur to Berlin as Don must avoid assassination or arrest, whichever comes first, in order for his plan to succeed.",7.1,51046,https://www.imdb.com/title/tt1285241/
Haider,3390572,2014,Action,Crime,Drama,Hindi,Tabu,Shahid Kapoor,Shraddha Kapoor,Pallavi Pethkar,NA,NA,"Vishal Bhardwaj's adaptation of William Shakespeare's 'Hamlet', Haider - a young man returns home to Kashmir on receiving news of his father's disappearance. Not only does he learn that security forces have detained his father for harboring militants, but that his mother is in a relationship with his very own uncle. Intense drama follows between mother and son as both struggle to come to terms with news of his father's death. Soon Haider learns that his uncle is responsible for the gruesome murder, what follows is his journey to avenge his father's death.",8.1,52085,https://www.imdb.com/title/tt3390572/
Special 26,2377938,2013,Crime,Drama,Thriller,Hindi,Akshay Kumar,Anupam Kher,Manoj Bajpayee,Dhiristi Bakshi,Sanket Ghag,Ashwini Kale,"Based on real life incidents that occurred in India in 1987-88, the storyline revolves around a group of con artists who pulled off many clever robberies during 1980s, and robbed famous businessmen and politicians by pretending to be the CBI or Income tax officers and conducting raids. On the pretext of conducting raids they would take away all the black money hoarded by them.",8.0,53392,https://www.imdb.com/title/tt2377938/
Andaz Apna Apna,0109117,1994,Action,Comedy,Romance,Hindi,Aamir Khan,Salman Khan,Raveena Tandon,Kailash Pandit,Menon Mohd. Yusuf,NA,"Amar and Prem are two rivals who belonging to middle-class families with no scope of future advancement. Both individually, without the knowledge of the other decide to take matters into their hands and find ways to get rich quickly. Chaos and acrimony result when both find each other at loggerheads when both arrive to win the hand of the daughter of multi-millionaire Ram Gopal Bajaj amidst considerable upheavals when Shyam, the twin brother of Ram, decides to do away with Ram and assume his identity and thus take over the estate of the Bajaj family.",8.1,51536,https://www.imdb.com/title/tt0109117/
OMG: Oh My God!,2283748,2012,Comedy,Drama,Fantasy,Hindi,Paresh Rawal,Akshay Kumar,Mithun Chakraborty,NA,NA,NA,"Oh my God is a story about a person (Kanji Lalji Mehta) who loses his shop in an earthquake. The shop is located an area in Mumbai, known as chor bazaar. Kanji is a person, who even does not fear God and even puts God on ill usage, for his benefit. After disaster, Kanji lodges complaint against God as he does not get benefit of insurance due to act of God. The notice is sent to all bigger baba's. He first goes through a lot of resistance, but eventually people turn out in his favor. People from other religions also join him. Thus notice is sent to every religious head. Later its shown how Kanji wins and people who have lodged complaint against disaster caused get benefited. Its also shown how dongis are bought into vision of normal people.",8.1,54660,https://www.imdb.com/title/tt2283748/
Veer-Zaara,0420332,2004,Drama,Family,Musical,Hindi,Shah Rukh Khan,Preity Zinta,Rani Mukerji,Braj Bhushan,Renu Chainani,Sudharkar Gaud,"Squadron Leader Veer Pratap Singh (Shah Rukh Khan) is a rescue pilot with the Indian Air Force. In the line of duty he comes across a stranded Zaara (Preity Zinta) - a girl from Pakistan who has come to India to fulfill her surrogate mothers dying wish. Veer saves her life and his life is never the same again. Twenty two years later Saamia Siddiqui (Rani Mukerji), a Pakistani human rights lawyer on her first case, finds herself face to face with an ageing Veer Pratap Singh. He has languished in a Pakistan jail cell for 22 years and has not spoken to anyone all these years. And no one knows why. Her mission is to discover the truth about Veer and see to it that justice is served. VEER-ZAARA is a saga of love, separation, courage and sacrifice. A love that is divine, a love that is whole-hearted, a love that is completely consuming, a love that grows with separation and deepens with sacrifice. A love that is an inspiration - and will remain a legend forever.",7.8,50889,https://www.imdb.com/title/tt0420332/
Chennai Express,2112124,2013,Action,Adventure,Comedy,Hindi,Deepika Padukone,Shah Rukh Khan,Sathyaraj,Swapnil Bhalerao,Sagar Desai,Sukant Gantayat,"Rahul embarks on a journey to a small town in Tamil Nadu to fulfill the last wish of his grandfather: to have his ashes immersed in the Holy water of Rameshwaram. En route, he meets a woman hailing from a unique family down South. As they find love through this journey in the exuberant lands of South India, an unanticipated drive awaits them.",6.1,51192,https://www.imdb.com/title/tt2112124/
Kuch Kuch Hota Hai,0172684,1998,Comedy,Drama,Musical,Hindi,Shah Rukh Khan,Kajol,Rani Mukerji,Mohammed Kasim,Shakir,NA,"Rahul Khanna and Anjali Sharma were best friends at college. Anjali realizes that she has fallen in love with Rahul but she's too late because Rahul has already fallen for Tina Malhotra. Heartbroken, Anjali leaves the city. Tina and Rahul get married and soon Tina becomes pregnant, giving birth to a daughter which they call Anjali. Due to complications during pregnancy, Tina passes away. Anjali is brought up by her father, and each year on her birthday he allows his daughter to read one of her mother's letters. Through these letters she learns that her mother (Tina) knew that another Anjali was in love with Rahul, and vows to bring them together again.",7.6,50138,https://www.imdb.com/title/tt0172684/
The Lunchbox,2350496,2013,Drama,Romance,NA,Hindi,Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui,NA,NA,NA,"The film, set in Mumbai, revolves around a mistaken delivery by the Dabbawalas (lunchbox service) of Mumbai, which leads to a relationship between Saajan, a lonely widower close to retirement, and Ila, an unhappy housewife, as they start exchanging notes through the daily lunchbox.",7.8,53039,https://www.imdb.com/title/tt2350496/
Jab We Met,1093370,2007,Comedy,Drama,Romance,Hindi,Shahid Kapoor,Kareena Kapoor,Tarun Arora,Ramesh Andhale,Tariq Umar Khan,NA,"Depressed after the passing of his father (Dharamraj) and a ditching by his gorgeous girlfriend, Mumbai-based businessman Aditya Kashyap takes a BEST bus, goes to the Chatrapati Shivaji Train Terminus, and boards a train. There he meets Geet Kaur Dhillon, who is returning home to Bhatinda, and who pays for his ticket. At Bar Nagar, he decides to leave, but she follows him, missing her train. They manage to get a ride to Ratlam, miss the train again, but eventually make it to Bhatinda. Once there, he gets to meet her family, her pretty sister Roop as well as her to-be betrothed, Manjeet Singh Mann. Before the engagement can be finalized, she manages to convince her fiancé that she wants to marry Aditya. Before Aditya can take stock of these new developments, she elopes with him - not to get married but to re-locate to Manali where her true love, Anshuman, awaits, and to whom she hopes to get married.",7.9,49907,https://www.imdb.com/title/tt1093370/
Sanju,6452574,2018,Biography,Comedy,Drama,Hindi,Ranbir Kapoor,Paresh Rawal,Manisha Koirala,Apurva Bhagat,Sean Kehoe,Purvisha Peshwe,"Few lives in our times are as dramatic and enigmatic as the saga of Sanjay Dutt. Coming from a family of cinema legends, he himself became a film star, and then saw dizzying heights and darkest depths: adulation of die-hard fans, unending battles with various addictions, brushes with the underworld, prison terms, loss of loved ones, and the haunting speculation that he might or might not be a terrorist. Sanju is in turns a hilarious and heartbreaking exploration of one man's battle against his own wild self and the formidable external forces trying to crush him. It depicts the journey of a man through everything that life can throw at him. Some true stories leave you thinking ""did this really happen?"" This is one such unbelievable story that happens to be true.",7.7,50466,https://www.imdb.com/title/tt6452574/
Kabhi Khushi Kabhie Gham...,0248126,2001,Drama,Musical,Romance,Hindi,Amitabh Bachchan,Jaya Bachchan,Shah Rukh Khan,Kedar Jagnam,Mohammed Kasim,Suzanne Kay,"Yashvardhan Raichand lives a very wealthy lifestyle along with his wife, Nandini, and two sons, Rahul and Rohan. While Rahul has been adopted, Yashvardhan and Nandini treat him as their own. When their sons mature, they start to look for suitable brides for Rahul, and decide to get him married to a young woman named Naina. When Rahul is told about this, he tells them that he loves another woman by the name of Anjali Sharma. Yashvardhan decides to meet with the Sharma family, and finds out that they are middle-classed, unsophisticated, and will not be able to it into his family circle, as a result he refuses to permit Rahul to marry Anjali. A defiant Rahul decides to leave, gets married to Anjali, without his foster parents blessings, and re-locates to London, England, where Anjali's unmarried sister, Pooja, also lives. Rohan, who was studying in a hostel, returns home to find that Rahul is no longer living with them, and he also discovers that while outwardly his dad is not interested in seeing Rahul get back, Nandini wants the family back all together for all happy and sad moments. Rohan also misses Rahul a lot, and decides to travel to London in order to try and get Rahul to return home. Yashvardhan, is unable to prevent this, and as a result Rohan does travel to London, meets with Rahul, Anjali, and Pooja. The question remains will the hurt and sorrow that Rahul experienced with his foster parents be erased and enable the family to be reunited, or will Rahul forget about the past, and continue to live his life without getting back to his roots and the family who brought him up, leaving Rohan to return alone?",7.4,46936,https://www.imdb.com/title/tt0248126/
Dhoom 3,1833673,2013,Action,Crime,Thriller,Hindi,Aamir Khan,Abhishek Bachchan,Katrina Kaif,Emily G. Carter,Frank Coronado,Jennifer Herrig,"The favourite Indian action franchise is back. This time Jai Dixit (Abhishek Bachchan) and Ali (Uday Chopra) return to match their wits with the enigmatic clown thief, Sahir (Aamir Khan), who has the city of Chicago in his thrall. In this battle of revenge and dignity, the lines blur and the conventional definition of good and bad don't apply. Watch a spectacle that will thrill you and move you.",5.4,44415,https://www.imdb.com/title/tt1833673/
Rab Ne Bana Di Jodi,1182937,2008,Comedy,Drama,Music,Hindi,Shah Rukh Khan,Anushka Sharma,Vinay Pathak,Amit Lad,Sharad Lad,Isha Mahajan,"Have you ever stopped to think if the most ordinary, uninteresting, unobtrusive man you might see on the road or around you might have a love story to tell? Maybe not. How can an ordinary man have a breathtaking, goose flesh igniting, awe inspiring love story of all things to tell? This is what happened to Surinder Sahni (Shahrukh Khan) - a simple, clean hearted, honest man, leading a humdrum life, when he meets his total opposite and finds love in the flamboyant, fun-loving, vivacious - Taani (Anushka Sharma) for whom the whole world is her canvas and she paints her own life with the colours of rainbow all until unforeseen circumstances changes it all and brings them together. What follows is a journey filled with laughter, tears, joy, pain, music, dance and a lot of love. A journey that makes us believe that there is an extraordinary love story in every ordinary jodi (couple).",7.2,45704,https://www.imdb.com/title/tt1182937/
The Fan,0116277,1996,Action,Drama,Sport,English,Robert De Niro,Wesley Snipes,Ellen Barkin,Mike Blaze,Rick Chavez,Stan Cockerell,"Three-times MVP baseball player Bobby Rayburn joins the San Francisco Giants, and obsessive fan, whose profession is selling hunting knives, Gil Renard is excited over that. But Rayburn plays the worst season of his career and Renard tries to do everything to help him, but goes too far.",5.9,47302,https://www.imdb.com/title/tt0116277/
Udaan,1639426,2010,Drama,NA,NA,Hindi,Rajat Barmecha,Ronit Roy,Manjot Singh,NA,NA,NA,"After being abandoned for eight straight years in boarding school, Rohan returns to the small industrial town of Jamshedpur and finds himself closeted with an authoritarian father and a younger half brother who he didn't even know existed. Forced to work in his father's steel factory and study engineering against his wishes, he strives to forge his own life out of his given circumstances and pursue his dream of being a writer.",8.2,43766,https://www.imdb.com/title/tt1639426/
"Carry On, Munna Bhai",0456144,2006,Comedy,Drama,Romance,Hindi,Sanjay Dutt,Arshad Warsi,Vidya Balan,Abhijit Khatu,Mitali Mahajan,Prashant Vichare,"A hilarious underworld gangster known as Munna Bhai falls comically in love with a radio host by the name of Jahnvi, who runs an elders' home, which is taken over by an unscrupulous builder, who gets the residents kicked out ironically with the help of Munna's sidekick, Circuit, while Munna is busy romancing Jahnvi elsewhere. Munna, who is now masquerading as a Professor specializing in the life of Mahatma Gandhi, must now battle his very own forces and the builder - but he has one ally on his side - none other than the great man - Mahatma Gandhi himself. Only trouble is that Munna may have problems convincing everyone about this presence - as he is apparently is the only one who can see and hear him.",8.0,44968,https://www.imdb.com/title/tt0456144/
Vishwaroopam,2199711,2013,Action,Thriller,NA,Tamil,Kamal Haasan,Rahul Bose,Shekhar Kapur,Srinivas Achary,Vivek Mandrekar,Sorayuk Mookleemas,"Vishwanathan, a Kathak dance teacher in New York, is in a rather happy marriage with Nirupama who is a nuclear oncologist. She hires a detective to keep a watch on her husband, who apparently ends up in a wrong place that reveals Vishwanathan's true identity.",8.1,39368,https://www.imdb.com/title/tt2199711/
Raees,3405236,2017,Action,Crime,Drama,Hindi,Raj Arjun,Shubham Chintamani,Shubham Tukaram,Sweta Gupta,Shraddha Herekar,Ajeet Parashar,"The film is set in the early 80's and 90's in Gujarat. The fictitious story of a man who builds an empire in the state of Gujarat, the only state that still follows prohibition. It's a story about his rise and his relationships, which help him become the single most powerful man in the state.",6.8,42165,https://www.imdb.com/title/tt3405236/
Talaash,1787988,2012,Crime,Drama,Mystery,Hindi,Aamir Khan,Kareena Kapoor,Nawazuddin Siddiqui,Dhara Jain,Tejass Korya,Arvind Ashok Kumar,"Seeing reflections of Mumbai under the red light, Talaash is a tale of love lost, fatal attraction and above all the quest to solve a perfect crime. Suspense at its core, Talaash explores Mumbai's underbelly like never before. Aamir Khan plays an investigation officer, Inspector Shekhawat who receives a phone call early in the morning informing him about death and an accident and how everything starts to unfold from there. The case turns into a life altering chase for Inspector Shekhawat when he is forced to reel under the repercussions of a broken married life with his wife Roshni played by Rani Mukherji and come face to face with his suppressed grief. Being on his investigational quest and fighting it out with personal struggle, Inspector Shekhawat meets a sex worker Rosie played by Kareena Kapoor who further adds shades of mystery to the puzzle. What looks like a simple car accident investigation turns into a haunting mystery as further investigations show many anomalies stringed to the death of the victim.",7.2,40798,https://www.imdb.com/title/tt1787988/
Vicky Donor,2317337,2012,Comedy,Romance,NA,Hindi,Ayushmann Khurrana,Yami Gautam,Annu Kapoor,NA,NA,NA,"Dr. Baldev Chaddha (Anu Kapoor), a well qualified fertility expert, runs a fertility clinic and a sperm bank in Dariyaganj, New Delhi, that guarantees a high quality and specialized sperm for the purpose. Unfortunately he has more failed cases to his credit than successes. A healthy, high performing donor is the need of the hour. Vicky Arora (Ayushmann Khurrana), a young, good-looking, Punjabi boy from Lajpat Nagar, is the only son and of no financial support to Dolly, a widow, who runs a small beauty parlor from home. As luck would have it, a small brawl in the colony brings Dr Chaddha and Vicky, face to face, where Chaddha, concludes that Vicky could be THAT donor he has been looking for. From here on, Chaddha's days and nights are spent in convincing Vicky to become a donor till he finally gives in. Vicky finds his love interest in Ashima Roy (Yami Gautam), a pretty Bengali girl, who works in a Bank. But soon there hunky dory world comes crashing down because of Vicky's past as a donor. With a brief emotional roller coaster ride, Vicky Donor is a light-hearted take on the subject of sperm donation.",7.8,41286,https://www.imdb.com/title/tt2317337/
Ra.One,1562871,2011,Action,Adventure,Sci-Fi,Hindi,Shah Rukh Khan,Arjun Rampal,Kareena Kapoor,Srinivas Achary,Ben Bagley,Caroline Barclay,"Following his son's suggestion, Shekhar designs an action game where the antagonist is more powerful than the protagonist. The player has to fight in the first two levels to reach the third one where whoever fires the bullet first wins. The game is well-received on its opening night, but things go wrong when Prateek stops playing and quits the game in between, only to invite the wrath of Ra.One, the game's villain who uses an advanced technology to take on physical form. He wants to destroy Prateek, something only the game's protagonist, G.One, can prevent from happening.",4.7,39654,https://www.imdb.com/title/tt1562871/
Om Shanti Om,1024943,2007,Action,Comedy,Drama,Hindi,Shah Rukh Khan,Arjun Rampal,Kirron Kher,Shazia Iqbal,Santosh Kotkar,Twisha Pal,"Om Prakash Makhija is a Junior Artist in the 1970's hindi film industry, who is in love with actress Shantipriya. Om rescues Shanti from a fire scene where the fire has escaped control, and they become friends. His hopes seems to be coming true, but shortly thereafter he finds out that she is married to a film producer, Mukesh Mehra, and is expecting his child. He then watches in horror as Mukesh, after luring her in an abandoned studio, sets it on fire to prevent a financial loss and protect his career. Om attempts to rescue her in vain, and he eventually is killed. 30 years later, Om has reincarnated as the only son of a Bollywood actor, Rajesh Kapoor, and is himself an actor. His memories start to return when he meets with his widowed mother, Bela, from his previous birth. He also meets with Mukesh and together they decide to make a movie 'Om Shanti Om'. Om then hires a look-alike of Shantipriya, and hopes to force a confession out of Mukesh - but things go awry and Om finds his life endangered once again.",6.7,40854,https://www.imdb.com/title/tt1024943/
Rockstar,1839596,2011,Drama,Music,Romance,Hindi,Ranbir Kapoor,Nargis Fakhri,Shammi Kapoor,Arundhati Barkataky,Garima Mathur,Paresh Mestry,"The film follows Janardhan Jhakar in a series of flashbacks and flash forwards, how the small collage boy became an international rock sensation ""Jordan"". To chase his dreams of a rockstar, the wanna-be singer his counseled that music and feelings only come with pain. In the process of which, he meets Heer, a tough on the outside and popular college girl, the both become friends, and as time passes by his dreams of music fade away as they spend time together. When heer moves away, Janardhan is thrown out of his house because of family misunderstandings. As he bides his time at a local mosque, his passion for music comes back to life. He is soon signed by a record label, where he makes more enemies than friends, his tour takes him to Prague, where he is reunited with a married Heer. Things go awry when the two share an intimate moment, and Jordan his deported to India on trespassing charges filed by Heer's husband. Now an angry painful and lonely JORDAN embarks on his journey to become a ROCKSTAR",7.7,41658,https://www.imdb.com/title/tt1839596/
Devdas,0238936,2002,Drama,Musical,Romance,Hindi,Shah Rukh Khan,Aishwarya Rai Bachchan,Madhuri Dixit,Dheeraj Akolkar,Dinkar Balal,Rajkishor Choudhary,"Devdas Mukherji is black-listed by his multi-millionaire Zamindar father, Narayan. After completing 10 years of study; Devdas return to his home-town where his family prepares to welcome him but their happiness changes when Devdas prefers to visit his childhood sweetheart, Parvati alias Paro before paying respect to his mother. After so much years Devdas finds he is still the black spot in his father's life especially when he is prevented from marrying Paro who happen to be a lower-caste girl. Eventually time passes with Paro's family arranging her marriage to a much elderly man named Bhuvan Choudhry where she is introduce to Bhuvan's children - who happen to be within her age group. This sadness not only breaks Devdas heart but confines him to alcohol in a big way. Soon Devdas starts to frequent a brothel and catches the eyes of a courtesan named Chandramukhi - step by step Devdas starts to head towards a path of self destruction.",7.6,40205,https://www.imdb.com/title/tt0238936/
Uri: The Surgical Strike,8291224,2019,Action,Drama,War,Hindi,Vicky Kaushal,Paresh Rawal,Mohit Raina,Bojana Bardic,Nikola Jovanovic,Aditya Kanwar,"Divided over five chapters, the film chronicles the events of the surgical strike conducted by the Indian military against suspected militants in Pakistan occupied Kashmir. It tells the story of the 11 tumultuous events over which the operation was carried out. Indian army special forces carry out a covert operation to avenge the killing of fellow army men at their base by a terrorist group.",8.2,49304,https://www.imdb.com/title/tt8291224/
Yeh Jawaani Hai Deewani,2178470,2013,Drama,Musical,Romance,Hindi,Ranbir Kapoor,Deepika Padukone,Aditya Roy Kapoor,Bernard Chedin,Nimisha Goswami,Kshamata Sachin Gurav,"Yeh Jawaani Hai Deewani is the story of the relationship between two characters, Bunny (Ranbir Kapoor) & Naina (Deepika Padukone), at two separate but defining times in their lives... first, when they are just out of college and standing on the crossroads of multiple decisions that will shape who and what they become... and then later on, in their late-twenties when they meet again, holding on to certain fulfilled and certain unfulfilled dreams, at a crossroads of another nature this time... how these two characters affect, change, befriend and eventually fall in love with each other is the journey the film aspires to take us on..",7.2,40890,https://www.imdb.com/title/tt2178470/
Sultan,4832640,2016,Action,Drama,Sport,Hindi,Salman Khan,Kubbra Sait,Marko Zaror,Ambika Acharya,Ramesh Andhale,Vivek Gurav,"Sultan is a story of Sultan Ali Khan - a local wrestling champion with the world at his feet as he dreams of representing India at the Olympics. It's a story of Aarfa - a feisty young girl from the same small town as Sultan with her own set of dreams. When the 2 local wrestling legends lock horns, romance blossoms and their dreams and aspirations become intertwined and aligned. However, the path to glory is a rocky one and one must fall several times before one stands victorious - More often than not, this journey can take a lifetime. Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds staked up against him. But when he has nothing to lose and everything to gain in this fight for his life match... Sultan must literally fight for his life. Sultan believes he's got what it takes... but this time, it's going to take everything he's got.",7.0,43030,https://www.imdb.com/title/tt4832640/
Pink,5571734,2016,Crime,Drama,Thriller,Hindi,Taapsee Pannu,Amitabh Bachchan,Kirti Kulhari,NA,NA,NA,"Deepak is a lawyer suffering from bipolar disorder who experiences frequent mood swings. One night, Rajveer and his friends get drunk and try to molest Miss Arora and her two roommates leading to an accident. The film revolves around how Deepak fights the girls' case against these influential boys.",8.1,42035,https://www.imdb.com/title/tt5571734/
Dear Zindagi,5946128,2016,Drama,Romance,NA,Hindi,Alia Bhatt,Shah Rukh Khan,Kunal Kapoor,NA,NA,NA,"This is the story of Kaira, a budding cinematographer in search of perfect life. A chance encounter with Jug, an unconventional thinker, helps her gain new perspective about life. She discovers that happiness is all about finding comfort in life's imperfections.",7.5,37800,https://www.imdb.com/title/tt5946128/
